Account, LUEs, InstalledMonth
002-0000600,5,535
002-0000620,1,635
002-0000640,5,627
002-0000700,1,535
002-0000800,1,535
002-0000900,1,599
002-0001000,1,641
002-0001050,1,634
002-0001100,1,534
002-0001200,3.3,584
002-0001201,12,643
002-0001202,12,643
002-0001258,3.3,633
002-0001285,3.3,633
002-0001286,1,633
002-0001295,1,633
002-0001296,12,633
002-0001300,1,533
002-0001400,1,531
002-0001500,1,511
002-0001600,1,510
002-0001700,1,533
002-0001900,1,559
002-0002100,35,519
002-0002200,35,519
002-0002300,12,519
002-0002315,12,633
002-0002400,50,585
002-0002468,1,620
002-0002500,50,585
002-0002621,1,634
002-0002800,1,576
002-0002801,3.3,640
002-0002900,1,452
002-0002950,12,647
002-0003000,1,454
002-0003032,12,630
002-0003094,1,558
002-0003100,1,609
002-0003101,1,605
002-0003200,1,546
002-0003300,1,454
002-0003400,3.3,625
002-0003411,50,639
002-0003447,3.3,623
002-0003448,3.3,623
002-0003500,3.3,546
002-0003600,1,522
002-0003632,1,622
002-0003800,12,597
002-0003900,1,625
002-0004000,1,454
002-0004100,1,627
002-0004200,1,458
002-0004204,1,589
002-0004300,1,565
002-0004400,1,458
002-0004600,1,625
002-0004700,1,458
002-0004800,1,591
002-0004801,1,599
002-0004858,3.3,634
002-0004900,1,424
002-0005100,1,524
002-0005200,3.3,524
002-0005300,1,600
002-0005400,1,581
002-0005500,1,513
002-0005600,1,498
002-0005700,1,563
002-0005782,1,591
002-0005800,3.3,594
002-0005900,1,594
002-0006000,1,601
002-0006200,1,566
002-0006300,1,517
002-0006400,1,457
002-0006500,1,519
002-0006600,1,517
002-0006700,1,517
002-0006800,1,517
002-0006900,3.3,409
002-0007000,1,578
002-0007001,1,624
002-0007100,1,517
002-0007200,1,580
002-0007300,1,517
002-0007400,1,588
002-0007500,1,517
002-0007600,1,521
002-0007700,1,517
002-0007800,1,524
002-0008000,1,633
002-0008100,1,498
002-0008300,1,405
002-0008400,1,524
002-0008500,1,585
002-0008600,1,509
002-0008700,1,585
002-0008800,1,613
002-0008900,1,611
002-0008945,1,598
002-0008956,3.3,591
002-0008957,3.3,591
002-0009000,1,524
002-0009001,3.3,633
002-0009002,3.3,593
002-0009005,1,604
002-0009100,1,465
002-0009101,1,580
002-0009200,1,524
002-0009300,1,465
002-0009400,1,524
002-0009500,1,513
002-0009600,1,464
002-0009632,1,601
002-0009700,1,551
002-0009800,1,637
002-0009885,1,596
002-0009900,1,464
002-0010000,1,464
002-0010100,1,562
002-0010200,1,563
002-0010258,1,592
002-0010300,1,464
002-0010398,1,627
002-0010400,1,464
002-0010500,1,513
002-0010600,1,499
002-0010700,1,464
002-0010800,1,485
002-0010803,1,569
002-0010900,1,464
002-0011000,1,629
002-0011050,3.3,621
002-0011051,3.3,621
002-0011100,1,454
002-0011150,5,630
002-0011200,1,454
002-0011300,1,579
002-0011400,1,464
002-0011500,1,513
002-0011600,1,496
002-0011700,1,464
002-0011800,1,577
002-0011900,1,538
002-0011901,3.3,630
002-0012000,1,409
002-0012001,3.3,624
002-0012100,1,513
002-0012200,1,513
002-0012300,3.3,532
002-0012400,1,513
002-0012500,1,464
002-0012600,1,592
002-0012700,1,454
002-0012800,1,468
002-0012900,1,464
002-0013000,1,411
002-0013100,1,555
002-0013200,1,454
002-0013300,1,589
002-0013400,1,465
002-0013500,1,412
002-0013600,1,464
002-0013700,1,454
002-0013800,1,457
002-0013900,1,464
002-0014000,1,562
002-0014100,1,464
002-0014105,5,596
002-0014200,1,513
002-0014300,1,464
002-0014400,1,464
002-0014600,1,439
002-0014700,1,535
002-0014800,1,615
002-0014900,1,525
002-0015000,1,464
002-0015100,1,521
002-0015200,1,429
002-0015265,12,581
002-0015266,3.3,585
002-0015300,1,464
002-0015400,1,577
002-0015500,1,460
002-0015600,1,464
002-0015700,1,568
002-0015800,1,405
002-0015900,1,464
002-0016000,1,464
002-0016100,1,513
002-0016200,1,481
002-0016300,1,481
002-0016400,3.3,527
002-0016500,1,513
002-0016532,12,589
002-0016600,1,446
002-0016700,1,455
002-0016800,1,513
002-0016900,1,531
002-0017000,1,567
002-0017100,1,502
002-0017150,1,606
002-0017200,1,513
002-0017300,1,616
002-0017400,1,425
002-0017500,1,529
002-0017600,1,464
002-0017700,1,530
002-0017800,15,570
002-0017801,12,633
002-0017802,5,633
002-0017900,12,532
002-0018000,15,570
002-0018045,1,594
002-0018050,1,610
002-0018100,1,464
002-0018200,3.3,627
002-0018300,1,529
002-0018400,3.3,532
002-0018500,5,530
002-0018600,12,532
002-0018700,1,522
002-0018800,1,530
002-0018900,1,513
002-0019000,1,524
002-0019100,1,530
002-0019200,1,464
002-0019300,1,587
002-0019400,1,530
002-0019500,1,513
002-0019600,1,530
002-0019700,1,513
002-0019800,1,530
002-0019900,1,625
002-0020000,1,543
002-0020100,1,530
002-0020200,1,462
002-0020300,1,464
002-0020400,1,513
002-0020500,1,464
002-0020600,1,464
002-0020700,1,464
002-0020800,1,464
002-0020900,1,463
002-0021000,1,550
002-0021100,1,464
002-0021200,1,468
002-0021236,1,598
002-0021300,1,631
002-0021400,1,513
002-0021500,1,464
002-0021543,12,589
002-0021600,1,453
002-0021700,1,601
002-0021800,1,513
002-0021900,1,584
002-0022000,1,575
002-0022100,1,601
002-0022200,1,513
002-0022300,1,524
002-0022400,1,573
002-0022500,1,524
002-0022561,1,576
002-0022600,1,576
002-0022700,1,454
002-0022800,1,555
002-0022801,12,640
002-0022900,1,631
002-0023000,1,454
002-0023100,1,454
002-0023200,1,590
002-0023300,1,597
002-0023400,12,402
002-0023500,1,457
002-0023600,1,454
002-0023700,1,454
002-0023800,1,454
002-0024000,1,454
002-0024100,1,454
002-0024200,1,454
002-0024300,1,454
002-0024400,1,463
002-0024500,1,627
002-0024600,1,608
002-0024800,1,486
002-0024900,1,454
002-0025000,1,501
002-0025100,1,562
002-0025200,1,564
002-0025300,1,453
002-0025385,1,573
002-0025400,1,591
002-0025500,1,623
002-0025600,1,623
002-0025700,1,569
002-0025800,1,626
002-0025900,1,600
002-0025974,3.3,633
002-0025975,5,600
002-0026000,1,625
002-0026100,1,612
002-0026200,5,610
002-0026300,1,405
002-0026400,1,601
002-0026500,1,563
002-0026535,35,630
002-0026600,1,412
002-0026700,1,453
002-0026761,12,647
002-0026800,1,453
002-0026900,1,453
002-0027000,1,405
002-0027100,1,631
002-0027200,1,453
002-0027300,1,453
002-0027400,1,453
002-0027500,1,419
002-0027600,1,453
002-0027700,1,453
002-0027800,1,453
002-0027900,1,453
002-0028000,1,590
002-0028100,1,405
002-0028200,1,453
002-0028300,1,453
002-0028400,1,413
002-0028500,1,453
002-0028563,1,585
002-0028600,1,453
002-0028700,1,470
002-0028800,1,453
002-0028900,1,562
002-0029000,1,453
002-0029100,1,453
002-0029200,1,482
002-0029300,1,429
002-0029400,1,475
002-0029500,1,453
002-0029502,3.3,646
002-0029600,1,453
002-0029700,12,532
002-0029800,12,533
002-0029899,12,581
002-0029900,1,453
002-0029911,3.3,606
002-0030000,1,609
002-0030100,1,453
002-0030200,1,453
002-0030205,1,625
002-0030215,1,573
002-0030300,1,504
002-0030400,1,608
002-0030500,12,533
002-0030600,1,453
002-0030700,1,454
002-0030800,1,405
002-0030900,1,625
002-0031000,1,453
002-0031100,1,453
002-0031200,1,410
002-0031300,1,453
002-0031400,1,453
002-0031500,1,453
002-0031600,1,453
002-0031700,1,409
002-0031800,1,598
002-0031900,1,453
002-0032000,1,453
002-0032100,1,414
002-0032200,3.3,454
002-0032300,1,453
002-0032400,1,412
002-0032500,1,453
002-0032600,1,562
002-0032700,1,597
002-0032800,1,588
002-0032900,1,453
002-0033000,1,453
002-0033100,1,453
002-0033200,1,583
002-0033300,1,453
002-0033400,1,453
002-0033500,1,454
002-0033600,1,578
002-0033700,1,405
002-0033800,1,601
002-0033900,1,454
002-0034000,1,566
002-0034100,1,454
002-0034200,1,425
002-0034300,1,584
002-0034400,1,454
002-0034500,1,454
002-0034600,1,630
002-0034700,1,454
002-0034800,1,454
002-0034900,1,454
002-0035000,1,454
002-0035002,1,625
002-0035100,1,454
002-0035200,1,454
002-0035300,3.3,524
